timestamp,tau_J_d0,tau_J_d1,tau_J_d2,tau_J_d3,tau_J_d4,tau_J_d5,tau_J_d6
2024-07-22T11:55:28.496557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.506503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.516777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.527565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.537581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.547513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.559404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.596766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.614988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.634179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.654663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.678885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.704599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.731535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.759815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.790748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.823412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.857335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.893507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.933388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:28.974859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.018226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.065261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.114703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.162926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.210712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.263287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.319454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.376672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.436156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.497652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.560518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.627679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.694646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.765169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.838690,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.912014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:29.990196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.072941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.154832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.239099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.324194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.413282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.506374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.600496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.697385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.797837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.897215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:30.999402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.102768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.209742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.318321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.431241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.546172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.659465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.774570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:31.889114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.009039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.131576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.254065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.379660,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.504753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.634314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.763140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:32.892654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:33.025595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:33.159708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:33.294012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:33.435912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:33.584092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:33.733651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:33.882078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:34.034990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:34.189480,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:34.349836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:34.509475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:34.669591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:34.831834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22T11:55:34.997260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
