timestamp,e0,e1,e2,e3,e4,e5,e6
2024-07-22T11:55:28.496557,-7.942680262229551e-05,-1.2644160511027236e-05,-1.6032155572331952e-05,-2.5347010910170553e-05,4.378294174850472e-05,-2.0204695035275222e-05,-2.74153649890696e-05
2024-07-22T11:55:28.506503,-7.943563289014577e-05,-9.851315335124289e-06,-1.361572913216591e-05,-2.608694579064874e-05,4.4800194352656586e-05,-1.866522401616777e-05,-3.185622971135782e-05
2024-07-22T11:55:28.516777,-7.943563293988376e-05,-4.570391180513944e-06,-1.1179303202157875e-05,-2.8151273594900772e-05,4.1601411749719874e-05,-1.701608181914338e-05,-2.8532189223495763e-05
2024-07-22T11:55:28.527565,-7.112340472148482e-05,-7.067110894293238e-06,-1.3598125918057313e-05,-2.859312615255405e-05,4.48001762954342e-05,-1.8517868995537867e-05,-2.8420804392137455e-05
2024-07-22T11:55:28.537581,-7.66515718348959e-05,-4.570282668120429e-06,-1.360597459920676e-05,-2.6265518618284744e-05,4.581744695672518e-05,-2.009131568181388e-05,-2.6360086844978703e-05
2024-07-22T11:55:28.547513,-7.66515718348959e-05,-4.570282668120429e-06,-1.360597459920676e-05,-2.6265518618284744e-05,4.581744695672518e-05,-2.009131568181388e-05,-2.6360086844978703e-05
2024-07-22T11:55:28.559404,-7.414493825175228e-05,-1.048196311556615e-05,-1.1101302007099356e-05,-2.263109797784324e-05,4.5817446956836205e-05,-1.7928660153820886e-05,-3.077665325190715e-05
2024-07-22T11:55:28.596766,-7.414591939269854e-05,-1.7226015518456705e-06,-1.3936306412443145e-05,-2.854252515227529e-05,4.5817446956836205e-05,-1.8971388714650317e-05,-2.8524168001919925e-05
2024-07-22T11:55:28.614988,-8.194128672278644e-05,-4.193093717991259e-06,-1.6112625582098694e-05,-2.5576298641194484e-05,4.5817446956836205e-05,-1.9797768278539962e-05,-3.1895637016110534e-05
2024-07-22T11:55:28.634179,-7.665153684222048e-05,-7.076028738672857e-06,-1.1101302012650471e-05,-2.2836012370852643e-05,4.4800194352656586e-05,-1.475022230845724e-05,-3.177789952824028e-05
2024-07-22T11:55:28.654663,-7.66515731809303e-05,-6.99401027093316e-06,-1.4308966056253425e-05,-2.4188828743110236e-05,4.5817446956836205e-05,-1.4748807307451983e-05,-2.9657680704398004e-05
2024-07-22T11:55:28.678885,-7.94355239237543e-05,-4.330146165437698e-06,-1.889667330012834e-05,-2.609326183966587e-05,4.491829985248108e-05,-1.4672993994935268e-05,-3.077665923356676e-05
2024-07-22T11:55:28.704599,-7.665157318048621e-05,-6.3376948082338735e-06,-1.6138609958415984e-05,-2.539533665180116e-05,4.581744762355289e-05,-2.0196225087865116e-05,-2.8538703504388252e-05
2024-07-22T11:55:28.731535,-7.728982938925988e-05,-3.83106160944946e-06,-1.3684957082316096e-05,-3.1128164066362984e-05,4.5817446956836205e-05,-1.7458248818158495e-05,-2.9173595301856814e-05
2024-07-22T11:55:28.759815,-7.919720224780491e-05,-9.139366793448067e-06,-1.3606956235867607e-05,-2.602727156642004e-05,4.4800194352656586e-05,-1.70305635638357e-05,-3.0776171984214784e-05
2024-07-22T11:55:28.790748,-7.414591536036852e-05,-9.860092566038592e-06,-1.3606955795553155e-05,-2.3227196716213427e-05,4.378294174850472e-05,-1.897570151365713e-05,-2.7406159162635113e-05
2024-07-22T11:55:28.823412,-7.66515731809303e-05,-4.861106978587548e-06,-1.619927751184136e-05,-2.6475915483992196e-05,4.5817446956836205e-05,-2.017029434808748e-05,-2.866439467152926e-05
2024-07-22T11:55:28.857335,-7.665153684222048e-05,-9.622741308501492e-06,-1.3606991950521063e-05,-2.3278549738936505e-05,4.683469956098807e-05,-1.862108886863112e-05,-3.307702229093934e-05
2024-07-22T11:55:28.893507,-7.665153684222048e-05,-9.622741308501492e-06,-1.3606991950521063e-05,-2.3278549738936505e-05,4.683469956098807e-05,-1.862108886863112e-05,-3.307702229093934e-05
2024-07-22T11:55:28.933388,-7.414591939802762e-05,-7.076043673115429e-06,-1.611260957856686e-05,-2.3510093696721412e-05,4.5817446956836205e-05,-2.120932509575013e-05,-3.311192551536113e-05
2024-07-22T11:55:28.974859,-7.13618596392962e-05,-7.066930041682573e-06,-1.6216611098518463e-05,-2.586115025948743e-05,4.4800194352656586e-05,-2.015268978894369e-05,-2.8538703479519256e-05
2024-07-22T11:55:29.018226,-7.943232611329343e-05,-9.848385471467047e-06,-1.6112610165541774e-05,-2.427384864933657e-05,4.5817446956836205e-05,-1.7767370258159332e-05,-2.630074818921191e-05
2024-07-22T11:55:29.065261,-8.19412867041347e-05,-9.860104705633477e-06,-1.1101302012650471e-05,-2.097670465328605e-05,4.683469956098807e-05,-1.751663983284857e-05,-3.1895637098156016e-05
2024-07-22T11:55:29.114703,-7.450580596901624e-05,-7.07506840896821e-06,-1.3606955795553155e-05,-2.1254548215221547e-05,4.5817446956836205e-05,-2.208938244985248e-05,-3.0834545418634285e-05
