Similarity,Y_Comparison
3.411895369074901e-27,-1.0
0.9592877451850574,1.0
0.9729724646822664,1.0
7.158517229346751e-26,-1.0
3.1601367428727107e-43,-1.0
1.6485943117838968e-71,-1.0
0.9711956526925576,1.0
1.600489076171505e-14,-1.0
0.9818138039584277,1.0
1.6745418215182282e-26,-1.0
1.0805581499225252e-06,-1.0
1.823381412110389e-23,-1.0
2.218882325618515e-20,-1.0
0.9689243160889714,1.0
3.0372969455860076e-33,-1.0
0.9423820988583312,1.0
0.9690166668070118,1.0
8.779877935680085e-12,-1.0
1.2578777890339927e-17,-1.0
0.9523326278739477,1.0
0.9692989925705452,1.0
0.9621193045584528,1.0
0.9599931167737901,1.0
0.9693684251915132,1.0
0.975701685255478,1.0
0.8503691044869665,1.0
0.9707714808038193,1.0
0.956902755521291,1.0
0.9760968890689727,1.0
2.20156329953207e-10,-1.0
0.8205739405803266,1.0
0.9537235615948126,1.0
0.9714182859842345,1.0
2.062214871945655e-41,-1.0
0.9603179144944393,1.0
0.9200237752169492,1.0
9.372740999304831e-26,-1.0
0.9546132111468736,1.0
0.9693524647089716,1.0
0.9373173717010226,1.0
0.9711860709762175,1.0
2.8340072964455924e-14,-1.0
0.11841775601431136,-1.0
0.9740901378754067,1.0
4.209023279445502e-31,-1.0
0.948642929147724,1.0
0.9747077652376024,1.0
0.5341677648474621,1.0
0.7648876309825681,1.0
0.6404064505409689,1.0
1.467811933968533e-23,-1.0
1.0758747231322222e-23,-1.0
2.183416954327549e-17,-1.0
0.9488557461725078,1.0
2.1848467629584251e-13,-1.0
0.9830216524307025,1.0
0.8914436461922105,1.0
0.9106150909996931,1.0
3.3074557755335124e-09,-1.0
0.8530863428173473,1.0
0.9104263594617735,1.0
1.1822854617297083e-16,-1.0
1.570891678058849e-19,-1.0
4.124149694932933e-28,-1.0
0.9548705541318845,1.0
3.2504973632402095e-13,-1.0
0.86737054243054,1.0
0.8002847505002103,1.0
0.9755021828851176,1.0
0.0016945626425479562,-1.0
0.9645727347501766,1.0
2.584403219092237e-10,-1.0
3.729540660077259e-44,-1.0
0.97358097222193,1.0
2.373711342017611e-23,-1.0
1.9342030507610742e-05,-1.0
0.9415839679554354,1.0
1.5597952519906056e-25,-1.0
0.9744266631428066,1.0
0.9736425015637319,1.0
0.9747558341135101,1.0
0.9712482472635847,1.0
2.6824233815878653e-20,-1.0
0.9457235679597636,1.0
0.954167659723811,1.0
0.9700489100261878,1.0
1.0241994023290254e-07,-1.0
3.4473577615020794e-21,-1.0
0.9451005735541212,1.0
1.458751142155117e-19,-1.0
0.9723690123984969,1.0
0.9755876346882747,1.0
0.8582551749354664,1.0
0.9764823643467919,1.0
0.967878738830476,1.0
4.078181121414378e-23,-1.0
2.196714221744735e-25,-1.0
1.6878336143840592e-70,-1.0
3.375543441982768e-06,-1.0
0.847388934543725,1.0
0.9569828391374189,1.0
2.872654919417841e-22,-1.0
4.195052806684345e-24,-1.0
1.325978156739273e-43,-1.0
7.034722087873866e-22,-1.0
1.638359247472465e-30,-1.0
0.9657406687246558,1.0
0.9734738829644549,1.0
0.9688949427051929,1.0
0.9472712881036798,1.0
4.355159527125389e-23,-1.0
1.2850453219726486e-07,-1.0
4.48777522966107e-24,-1.0
0.9799622405715984,1.0
3.5544169242497686e-37,-1.0
0.9548687156630908,1.0
0.953443478749607,1.0
3.393535739341884e-23,-1.0
0.8201067611418825,1.0
0.01699301206903725,-1.0
0.9650442831623056,1.0
0.9713902093463687,1.0
0.9577164430393095,1.0
1.4994792568661197e-08,-1.0
1.8867738572244968e-43,-1.0
0.8792048821799601,1.0
0.9525866925755608,1.0
5.552708573797997e-05,-1.0
0.9756614999543308,1.0
0.9718544788316233,1.0
8.811185602734471e-15,-1.0
6.786414687124135e-14,-1.0
6.449122688119956e-11,-1.0
3.359712559810097e-44,-1.0
0.958348546195746,1.0
0.004268150677285384,-1.0
0.9764026647076375,1.0
0.6321329543155524,1.0
0.9703008374095898,1.0
5.990900780665445e-14,-1.0
0.9739341490422795,1.0
0.9683683402618147,1.0
0.9673999603420285,1.0
0.9630597186547908,1.0
0.9551546141673595,1.0
0.8834231650371885,1.0
0.9205514591920629,1.0
0.5237211643915067,1.0
0.9750424661195998,1.0
0.9016776457412237,1.0
0.9723685482080131,1.0
0.9764994326767564,1.0
7.236950492793276e-18,-1.0
0.9634784549991074,1.0
0.9672990759853868,1.0
3.7013802598238604e-09,-1.0
0.9652237492421716,1.0
0.9731286266035816,1.0
0.9573916672229958,1.0
2.2061057450926764e-09,-1.0
0.9690392098930611,1.0
1.479376157535106e-09,-1.0
5.904011693951343e-35,-1.0
3.373281326531555e-11,-1.0
0.9680592516837336,1.0
8.668918858254031e-17,-1.0
0.018031173208361635,-1.0
0.9770222431043898,1.0
3.2497058775357023e-12,-1.0
2.5317404540121052e-20,-1.0
0.9733455224563783,1.0
0.9778891910684286,1.0
8.737167570210769e-37,-1.0
0.9527184898072968,1.0
0.5240249229666446,-1.0
0.9071571171418553,1.0
0.9603517673898097,1.0
0.9753834368586001,1.0
0.9585462305996484,1.0
2.0605749235197375e-47,-1.0
0.9700244570378325,1.0
1.3321266296916738e-17,-1.0
2.1063203128715202e-44,-1.0
0.9692388011530224,1.0
1.3394299189527023e-25,-1.0
0.7668931900336032,1.0
7.662049514132872e-11,-1.0
0.9717948270711497,1.0
2.255341986931961e-09,-1.0
0.5695097190073678,1.0
5.93892564968173e-13,-1.0
2.316978286289299e-29,-1.0
5.686417993375894e-38,-1.0
0.9731951842896539,1.0
0.7355029968441954,1.0
0.972527784908413,1.0
0.9744424635131592,1.0
0.8455073789033871,1.0
