index,time,tau_J0,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J_d0,tau_J_d1,tau_J_d2,tau_J_d3,tau_J_d4,tau_J_d5,tau_J_d6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,q0,q1,q2,q3,q4,q5,q6,q_d0,q_d1,q_d2,q_d3,q_d4,q_d5,q_d6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq_d0,dq_d1,dq_d2,dq_d3,dq_d4,dq_d5,dq_d6,e0,e1,e2,e3,e4,e5,e6,de0,de1,de2,de3,de4,de5,de6,etau_J0,etau_J1,etau_J2,etau_J3,etau_J4,etau_J5,etau_J6,label
1,0.0,-0.18862289190292358,-47.8083381652832,1.952931523323059,19.121164321899414,0.373862624168396,2.184337615966797,0.05296727642416954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19319097934668653,0.17085908079332607,-0.18766889464994083,-0.3306455144811901,-0.16288795775025475,-0.057117151471395906,0.005595047420510798,-1.19256102592485,0.809388463187636,0.06515610378500955,-1.5919716518210139,-0.06815027756499492,2.407484178230991,0.8342160782217155,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,0.00014986022349057384,-0.0013406009065602361,0.0003670915686185577,-0.000513336937922737,-0.000822136899115494,0.000495475002555793,-0.005678450116596696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001741938964405776,7.312928474700886e-05,-6.300721504479134e-05,-7.702835076761616e-05,-0.00010815235394917577,-9.267954067171402e-05,1.1579597367861183e-05,-0.00014986022349057384,0.0013406009065602361,-0.0003670915686185577,0.000513336937922737,0.000822136899115494,-0.000495475002555793,0.005678450116596696,0.18862289190292358,47.8083381652832,-1.952931523323059,-19.121164321899414,-0.373862624168396,-2.184337615966797,-0.05296727642416954,0
2,0.005003769008908421,-0.18862289190292358,-47.8083381652832,1.952931523323059,19.121164321899414,0.373862624168396,2.184337615966797,0.05296727642416954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19319097934668653,0.17085908079332607,-0.18766889464994083,-0.3306455144811901,-0.16288795775025475,-0.057117151471395906,0.005595047420510798,-1.19256102592485,0.809388463187636,0.06515610378500955,-1.5919716518210139,-0.06815027756499492,2.407484178230991,0.8342160782217155,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,0.00014986022349057384,-0.0013406009065602361,0.0003670915686185577,-0.000513336937922737,-0.000822136899115494,0.000495475002555793,-0.005678450116596696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001741938964405776,7.312928474700886e-05,-6.300721504479134e-05,-7.702835076761616e-05,-0.00010815235394917577,-9.267954067171402e-05,1.1579597367861183e-05,-0.00014986022349057384,0.0013406009065602361,-0.0003670915686185577,0.000513336937922737,0.000822136899115494,-0.000495475002555793,0.005678450116596696,0.18862289190292358,47.8083381652832,-1.952931523323059,-19.121164321899414,-0.373862624168396,-2.184337615966797,-0.05296727642416954,0
3,0.010000845999456942,-0.18862289190292358,-47.8083381652832,1.952931523323059,19.121164321899414,0.373862624168396,2.184337615966797,0.05296727642416954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19319097934668653,0.17085908079332607,-0.18766889464994083,-0.3306455144811901,-0.16288795775025475,-0.057117151471395906,0.005595047420510798,-1.19256102592485,0.809388463187636,0.06515610378500955,-1.5919716518210139,-0.06815027756499492,2.407484178230991,0.8342160782217155,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,0.00014986022349057384,-0.0013406009065602361,0.0003670915686185577,-0.000513336937922737,-0.000822136899115494,0.000495475002555793,-0.005678450116596696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001741938964405776,7.312928474700886e-05,-6.300721504479134e-05,-7.702835076761616e-05,-0.00010815235394917577,-9.267954067171402e-05,1.1579597367861183e-05,-0.00014986022349057384,0.0013406009065602361,-0.0003670915686185577,0.000513336937922737,0.000822136899115494,-0.000495475002555793,0.005678450116596696,0.18862289190292358,47.8083381652832,-1.952931523323059,-19.121164321899414,-0.373862624168396,-2.184337615966797,-0.05296727642416954,0
4,0.015008109010523185,-0.14895004034042358,-47.8876838684082,1.917225956916809,19.156869888305664,0.345481276512146,2.216381072998047,-0.02851465716958046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20280795463438925,0.21269080615402206,-0.19550861530752164,-0.35816914742349054,-0.16396471520414652,-0.06213386854179765,0.005319964837548934,-1.1925638099846088,0.8093939518342937,0.06515869143867484,-1.5919739193846103,-0.06814394520048495,2.4074805001159536,0.8342250096717704,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,-0.001447230481963939,0.0008454323230987579,0.0016109494558589044,-0.00028859581285845107,0.0003455003217615938,-0.000618619111625224,0.0001262063735938065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176977956199309,6.764063808928356e-05,-6.559486871007825e-05,-7.476078717116863e-05,-0.00011448471845915131,-8.900142563428304e-05,2.648147312989124e-06,0.001447230481963939,-0.0008454323230987579,-0.0016109494558589044,0.00028859581285845107,-0.0003455003217615938,0.000618619111625224,-0.0001262063735938065,0.14895004034042358,47.8876838684082,-1.917225956916809,-19.156869888305664,-0.345481276512146,-2.216381072998047,0.02851465716958046,0
5,0.020034874003613368,-0.14895004034042358,-47.8876838684082,1.917225956916809,19.156869888305664,0.345481276512146,2.216381072998047,-0.02851465716958046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20280795463438925,0.21269080615402206,-0.19550861530752164,-0.35816914742349054,-0.16396471520414652,-0.06213386854179765,0.005319964837548934,-1.1925638099846088,0.8093939518342937,0.06515869143867484,-1.5919739193846103,-0.06814394520048495,2.4074805001159536,0.8342250096717704,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,-0.001447230481963939,0.0008454323230987579,0.0016109494558589044,-0.00028859581285845107,0.0003455003217615938,-0.000618619111625224,0.0001262063735938065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176977956199309,6.764063808928356e-05,-6.559486871007825e-05,-7.476078717116863e-05,-0.00011448471845915131,-8.900142563428304e-05,2.648147312989124e-06,0.001447230481963939,-0.0008454323230987579,-0.0016109494558589044,0.00028859581285845107,-0.0003455003217615938,0.000618619111625224,-0.0001262063735938065,0.14895004034042358,47.8876838684082,-1.917225956916809,-19.156869888305664,-0.345481276512146,-2.216381072998047,0.02851465716958046,0
6,0.025016927014803514,-0.14895004034042358,-47.8876838684082,2.0283098220825195,19.121164321899414,0.354636549949646,2.184337615966797,-0.03858545795083046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.173594662357243,0.21885327202065197,-0.17207972424423626,-0.35943616163807984,-0.16379555945862861,-0.06260789072160916,0.004553060475144165,-1.1925659557518207,0.8093933160509675,0.06514800195060383,-1.5919714137644763,-0.06814803666312755,2.407484060499403,0.8342262463865157,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,-0.0002456678720673357,0.0006873107964463766,-0.0008358424992817973,0.0006903391474528728,-0.000882970739341233,0.0009963438566457487,0.001870828315251436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017912372341122307,6.827642141549184e-05,-5.49053806390698e-05,-7.726640730520984e-05,-0.0001103932558165488,-9.256180908367995e-05,1.411432567710591e-06,0.0002456678720673357,-0.0006873107964463766,0.0008358424992817973,-0.0006903391474528728,0.000882970739341233,-0.0009963438566457487,-0.001870828315251436,0.14895004034042358,47.8876838684082,-2.0283098220825195,-19.121164321899414,-0.354636549949646,-2.184337615966797,0.03858545795083046,0
7,0.03001603900338523,-0.14895004034042358,-47.8876838684082,2.0283098220825195,19.121164321899414,0.354636549949646,2.184337615966797,-0.03858545795083046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.173594662357243,0.21885327202065197,-0.17207972424423626,-0.35943616163807984,-0.16379555945862861,-0.06260789072160916,0.004553060475144165,-1.1925659557518207,0.8093933160509675,0.06514800195060383,-1.5919714137644763,-0.06814803666312755,2.407484060499403,0.8342262463865157,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,-0.0002456678720673357,0.0006873107964463766,-0.0008358424992817973,0.0006903391474528728,-0.000882970739341233,0.0009963438566457487,0.001870828315251436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017912372341122307,6.827642141549184e-05,-5.49053806390698e-05,-7.726640730520984e-05,-0.0001103932558165488,-9.256180908367995e-05,1.411432567710591e-06,0.0002456678720673357,-0.0006873107964463766,0.0008358424992817973,-0.0006903391474528728,0.000882970739341233,-0.0009963438566457487,-0.001870828315251436,0.14895004034042358,47.8876838684082,-2.0283098220825195,-19.121164321899414,-0.354636549949646,-2.184337615966797,0.03858545795083046,0
8,0.03501623001648113,-0.22432845830917358,-47.8083381652832,1.952931523323059,19.121164321899414,0.345481276512146,2.216381072998047,0.03191014751791954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2111954697824972,0.06441112684728115,-0.1925417622062219,-0.28167691231423553,-0.1623980979740157,-0.051909641253223636,0.004061476301646955,-1.1925585202831799,0.8093884631835984,0.06515408120995494,-1.5919714138344623,-0.0681460739234723,2.407480500115289,0.8342184135421281,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,0.00033782670181867745,-0.0009148770023155123,0.00036961605701617343,0.0001726121233213376,0.000303899657796023,-0.0005522824904046485,0.00475493306597325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017168825477043015,7.312928878466796e-05,-6.0984639990185885e-05,-7.726633731919286e-05,-0.00011235599547179675,-8.900142496948149e-05,9.24427695525587e-06,-0.00033782670181867745,0.0009148770023155123,-0.00036961605701617343,-0.0001726121233213376,-0.000303899657796023,0.0005522824904046485,-0.00475493306597325,0.22432845830917358,47.8083381652832,-1.952931523323059,-19.121164321899414,-0.345481276512146,-2.216381072998047,-0.03191014751791954,0
9,0.0400107950263191,-0.22432845830917358,-47.8083381652832,1.952931523323059,19.121164321899414,0.345481276512146,2.216381072998047,0.03191014751791954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2111954697824972,0.06441112684728115,-0.1925417622062219,-0.28167691231423553,-0.1623980979740157,-0.051909641253223636,0.004061476301646955,-1.1925585202831799,0.8093884631835984,0.06515408120995494,-1.5919714138344623,-0.0681460739234723,2.407480500115289,0.8342184135421281,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,0.00033782670181867745,-0.0009148770023155123,0.00036961605701617343,0.0001726121233213376,0.000303899657796023,-0.0005522824904046485,0.00475493306597325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017168825477043015,7.312928878466796e-05,-6.0984639990185885e-05,-7.726633731919286e-05,-0.00011235599547179675,-8.900142496948149e-05,9.24427695525587e-06,-0.00033782670181867745,0.0009148770023155123,-0.00036961605701617343,-0.0001726121233213376,-0.000303899657796023,0.0005522824904046485,-0.00475493306597325,0.22432845830917358,47.8083381652832,-1.952931523323059,-19.121164321899414,-0.345481276512146,-2.216381072998047,-0.03191014751791954,0
10,0.045004839019384235,-0.22432845830917358,-47.8083381652832,1.952931523323059,19.121164321899414,0.354636549949646,2.184337615966797,0.03191014751791954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18166579791588558,0.20156115712801892,-0.1774481473477981,-0.3494954392713294,-0.16364105850004718,-0.061197668969249906,0.004461408950057273,-1.1925588381625059,0.8093877476048499,0.06515621208046272,-1.591971413729484,-0.06814803759463255,2.407484060499403,0.834218766754838,-1.1923868320284094,0.809461592472383,0.06509309656996476,-1.5920486801717815,-0.0682584299189441,2.4073914986903193,0.8342276578190834,0.0009497664562154942,-0.0014206842490181984,0.00018419103796954038,0.00019426272788176526,4.443743493366482e-05,0.0006078840914076795,-0.0016531286669864073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017200613409640297,7.384486753314601e-05,-6.311551049796582e-05,-7.726644229744117e-05,-0.00011039232431155066,-9.256180908367995e-05,8.89106424539765e-06,-0.0009497664562154942,0.0014206842490181984,-0.00018419103796954038,-0.00019426272788176526,-4.443743493366482e-05,-0.0006078840914076795,0.0016531286669864073,0.22432845830917358,47.8083381652832,-1.952931523323059,-19.121164321899414,-0.354636549949646,-2.184337615966797,-0.03191014751791954,0
