timestamp,de0,de1,de2,de3,de4,de5,de6
2024-07-18T18:28:44.263011,"[ 0.00130138  0.00031015  0.00073979  0.00029686  0.00068961 -0.00567426
  0.00327175]"
2024-07-18T18:28:44.272927,"[-0.000411   -0.00106709  0.00017269  0.00055667 -0.00011388  0.00640644
 -0.00055628]"
2024-07-18T18:28:44.282642,"[-0.00207401 -0.00020734  0.00204435  0.00053236  0.00017636  0.00054694
  0.00053376]"
2024-07-18T18:28:44.294751,"[ 0.00037885 -0.00013962 -0.00054107 -0.00051195  0.00051991 -0.0005519
 -0.0007694 ]"
2024-07-18T18:28:44.306296,"[ 1.67414546e-03  3.11796322e-04 -1.22565415e-04 -9.99222469e-06
 -1.97196257e-04 -1.35561672e-04 -1.51839356e-03]"
2024-07-18T18:28:44.320776,"[-0.00111067 -0.00073294  0.00202634 -0.00155119 -0.00091512  0.00015845
  0.0003095 ]"
2024-07-18T18:28:44.338703,"[ 0.00249681  0.00108101  0.00024105  0.00063856  0.00020652 -0.00088344
  0.00147567]"
2024-07-18T18:28:44.364280,"[ 0.00119168 -0.00016799 -0.00026118  0.00036583  0.00041068 -0.00063135
 -0.00177614]"
2024-07-18T18:28:44.405399,"[-2.57552865e-03  1.80271833e-03  1.29469335e-03  5.64708255e-04
 -4.77538048e-04 -9.30011463e-05  5.37489814e-04]"
2024-07-18T18:28:44.446281,"[ 2.09452530e-03  1.00785134e-03  8.05403708e-04  2.52476828e-05
 -1.72446832e-05 -7.89636282e-05 -9.89787584e-05]"
2024-07-18T18:28:44.487286,"[-4.50277895e-04  3.45844742e-04  3.10563632e-04 -1.57721306e-03
 -5.24497209e-03 -2.38624314e-04  5.93760906e-05]"
2024-07-18T18:28:44.529323,"[-0.00089586  0.00083593 -0.00121517 -0.00139858 -0.00019062  0.00441811
  0.00017679]"
2024-07-18T18:28:44.571255,"[-1.74385360e-04 -5.24168532e-04 -6.77183918e-05  1.40665925e-03
  1.17319949e-04 -4.22317025e-04  2.10366152e-03]"
2024-07-18T18:28:44.613296,"[-0.00109029  0.00138291 -0.00061796  0.00019768  0.00069137 -0.00063198
 -0.0009747 ]"
2024-07-18T18:28:44.655230,"[-0.00029595  0.00080501 -0.00018326  0.00495212 -0.00021404 -0.00036435
 -0.00093168]"
2024-07-18T18:28:44.691116,"[-6.65317557e-04  3.36575689e-04 -1.92617491e-05  1.83699623e-03
 -2.68687460e-04 -8.34975864e-03 -6.93484655e-04]"
2024-07-18T18:28:44.728051,"[ 2.40372943e-04 -8.48466656e-04  3.53126420e-04 -3.53531854e-04
 -3.48502391e-04 -4.63655635e-06  7.97500764e-03]"
2024-07-18T18:28:44.770047,"[-2.06095150e-05 -5.16438890e-04 -6.39468699e-04 -1.37111761e-03
  1.60154084e-04 -5.46719099e-04  1.76046350e-03]"
2024-07-18T18:28:44.812498,"[-2.57891460e-05  1.16832333e-03  1.60071559e-03  1.95613647e-04
  5.87876082e-04 -8.08591597e-04  6.33655304e-04]"
2024-07-18T18:28:44.858594,"[ 0.0001565   0.00060649 -0.0002091  -0.00021445  0.00036034  0.00906429
 -0.00834918]"
2024-07-18T18:28:44.906819,"[-0.00097921  0.00011315  0.00061167 -0.00013896 -0.00020625  0.00033957
  0.00047272]"
2024-07-18T18:28:44.960135,"[ 1.31965237e-03  5.51081950e-04  2.58712602e-04 -1.12711912e-03
 -3.73943932e-04 -6.35514072e-05  1.39130028e-03]"
2024-07-18T18:28:45.014136,"[-1.69989739e-03 -1.54213869e-03  4.33036316e-05 -2.32999750e-04
  5.23004527e-04  1.24850901e-03  1.67333943e-05]"
2024-07-18T18:28:45.073212,"[-1.72693489e-03  1.04228524e-03 -8.74556140e-05  6.38511736e-04
 -2.02603622e-07 -5.50840479e-05  1.40926019e-03]"
2024-07-18T18:28:45.131636,"[-3.08164918e-04  7.36154492e-05 -1.61076127e-05  3.88977586e-05
 -5.28682281e-04 -5.65668829e-04 -1.66965678e-03]"
2024-07-18T18:28:45.196593,"[ 0.00023858 -0.00041798  0.00096198 -0.00112513 -0.00014214  0.00026029
 -0.00589153]"
2024-07-18T18:28:45.262767,"[-1.15478098e-03 -7.24452946e-05 -1.41444764e-03  5.43223941e-04
  2.16457814e-04 -1.82914590e-04  1.72303577e-03]"
2024-07-18T18:28:45.327967,"[-0.00064845  0.00071707 -0.00037756 -0.00124737 -0.00050065 -0.00283742
  0.00024256]"
2024-07-18T18:28:45.398728,"[-0.00078443  0.00131422  0.00027705  0.00125915 -0.00022878 -0.00012629
  0.00131592]"
2024-07-18T18:28:45.470996,"[ 0.00146156  0.00259095  0.00055005 -0.00069366  0.00022203  0.00344366
  0.00166383]"
2024-07-18T18:28:45.545072,"[-0.00106378  0.00044233  0.00130485  0.0001198  -0.00015772 -0.00048897
 -0.00090598]"
2024-07-18T18:28:45.623370,"[ 2.49533068e-05 -1.04729478e-03 -1.57124894e-04 -8.90916647e-04
 -8.52077971e-04 -2.08310090e-04  1.78919799e-05]"
2024-07-18T18:28:45.705118,"[ 1.34233501e-04  4.20180171e-04 -9.51297833e-04  1.94611503e-05
 -5.02203570e-04 -1.01894854e-04  4.97523097e-04]"
2024-07-18T18:28:45.787801,"[ 0.00056618 -0.00109238 -0.00018478  0.0039784  -0.00038211  0.00060389
 -0.00058115]"
2024-07-18T18:28:45.874053,"[-0.00040047  0.00071956  0.00022884  0.00057831 -0.00050839 -0.00021467
  0.00280348]"
2024-07-18T18:28:45.961103,"[-0.0003538   0.00099299  0.00091607  0.00075036  0.00016442  0.00044102
  0.00616144]"
2024-07-18T18:28:46.050350,"[ 6.52731537e-04 -1.34395504e-03  4.16439163e-05 -4.15869310e-04
 -2.64190500e-04 -1.03949605e-02 -1.50654423e-03]"
2024-07-18T18:28:46.138919,"[-0.00143991 -0.0007973   0.00183775 -0.00059525 -0.00070012 -0.00963204
  0.00065038]"
